equipment_id,operator_id,utilization_date,cost,name,creation_date,title,category,maintenance_type_id,extra_info,maintenance_event_id,Maintenance_Date,birth_date
394,102,29/11/2023,733,Cole PLC,28/06/2023,People,act,,,,,25/03/1972
38,280,30/07/2021,2557,Terry-Horton,27/07/2021,Result,ten,,,,,13/11/1997
296,572,15/11/2025,1400,Ferguson-Williams,30/05/2025,Stop,drop,,,,,24/10/1992
34,387,23/08/2022,1035,Fisher Group,10/11/2021,Me,include,,,,,25/01/1990
415,418,05/04/2023,1103,Blankenship-Gray,22/06/2022,Why,particular,,,,,29/07/1979
433,637,17/09/2025,4437,Marsh-Martinez,20/07/2024,Simply,happen,,,,,08/10/2004
3,444,26/09/2025,1757,Diaz-Hill,02/10/2024,Gas,best,,,,,15/12/1966
190,824,13/08/2025,1881,Vasquez. Gibbs and White,16/10/2024,Short,final,,,,,10/07/2002
94,626,24/12/2022,4207,Brown LLC,14/04/2022,At,compare,28,enjoy,9,10/05/2023,14/03/1984
100,215,21/01/2026,1114,Phillips Inc,03/01/2025,Sign,about,8,art,10,27/07/2025,30/01/1984
487,773,15/04/2024,1549,Baker-Porter,15/03/2023,Front,those,,,,,30/12/1981
369,482,30/06/2023,703,Silva. Hernandez and Brown,04/03/2022,Current,agent,15,simply,12,22/07/2023,07/09/1973
421,850,14/07/2024,4944,Burnett-Prince,13/06/2024,Maintain,president,,,,,19/02/1990
337,521,30/05/2023,292,Mitchell. Brown and Howe,13/11/2022,Guy,friend,,,,,02/06/2000
494,638,24/06/2022,2563,Montoya-Simmons,19/03/2022,Memory,baby,184,letter,15,18/10/2022,03/02/1974
494,638,05/04/2022,2563,Montoya-Simmons,19/03/2022,Memory,baby,199,public,16,16/01/2023,03/02/1974
66,96,15/03/2023,1747,Fleming and Sons,29/11/2021,Receive,teach,,,,,01/11/1991
484,800,31/10/2024,3879,Simmons. Brewer and Daniel,26/10/2024,Political,last,69,trip,18,11/10/2025,20/08/1975
108,353,16/06/2022,4878,Faulkner-Adams,27/01/2022,War,off,,,,,21/09/1992
221,944,18/10/2025,1201,Henderson. Mcmillan and Bailey,23/09/2025,For,strategy,174,health,20,13/12/2026,08/04/1977
385,511,18/07/2025,1652,Silva. Schmidt and Howell,13/06/2025,Message,evening,,,,,07/03/1991
303,697,06/11/2025,3379,Long Ltd,01/10/2025,Within,front,,,,,23/03/1997
41,831,08/04/2023,397,Castillo. Chavez and Underwood,10/01/2023,A,think,,,,,15/04/1994
299,99,29/08/2023,2874,Harris-Curtis,21/06/2023,Ability,red,,,,,22/07/2002
500,813,05/06/2025,2663,Browning-Fisher,14/12/2024,Building,which,107,later,25,15/05/2025,25/04/1983
475,14,26/06/2023,1468,Erickson-Olson,07/02/2023,Whether,vote,127,hope,26,06/10/2023,06/02/1969
475,14,20/03/2024,1468,Erickson-Olson,07/02/2023,Whether,vote,129,TRUE,27,09/04/2024,06/02/1969
193,23,19/05/2025,787,Sims-Hicks,26/03/2025,Often,charge,39,most,28,07/02/2027,13/06/1974
395,744,03/09/2021,1179,Brown-Mora,18/03/2021,Add,loss,,,,,01/10/1966
302,129,12/03/2026,747,Garcia PLC,15/01/2026,Both,away,,,,,11/05/1992
233,796,01/03/2025,1919,Glover-Wright,12/09/2024,Hot,activity,,,,,24/05/1967
47,423,06/07/2022,3497,Wallace. Wilson and Copeland,25/02/2022,In,still,,,,,08/08/2000
430,476,31/07/2022,1428,Spencer and Sons,21/07/2021,It,agree,,,,,16/07/1984
